분류번호,사무명,사무개요,신청유형,단순/복합,수수료,수수료내역,보관기간,등록일자,적용일자,폐지일자,소관부처,담당부서
1550000-0062,문화재사범 제보·체포 공로자 포상금 청구,"문화재를 손상,절취,은닉하거나 도굴 등의 죄를 범한 자 또는 미수범을 수사기관에 제보하거나 체포에 공로가 있는 자의 포상금 신청 관련 민원사무입니다.",기타,단순민원,수수료 없음,수수료 없음,5년,2011.03.10,2010.11.17,,문화재청,안전기준과
1550000-0061,행정명령 등에 의한 손실보상(문화재),"국가지정문화재의 관리상황이 그 문화재의 보존상 부적당하거나 특히 필요하다고 인정되는 경우 그 소유자·보유자·관리자 또는 관리단체에 대한 일정한 행위의 금지 또는 제한, 국가지정문화재의 소유자 또는 관리자나 관리단체에 대한 수리, 그 밖에 필요한 시설의 설치 또는 장애물의 제거, 국가지정문화재의 소유자 또는 관리자나 관리단체에 대한 문화재 보존에 필요한 긴급한 조치 등의 명령 이행 및 동 사항에 대한 국가의 조치, 정기조사, 직권조사 등으로 손실을 받은 자가 보상 신청을 하는 민원사무입니다.",기타,단순민원,수수료 없음,수수료 없음,5년,2012.09.21,2012.11.30,,문화재청,보존정책과
1550000-0060,문화재 국외 반출기간 연장 허가,문화재보호법 제39조 제1항 단서에 따라 국가지정문화재 국외 반출 허가를 받은 자 또는 같은 법 제60조 제1항 본문에 따라 일반동산문화재의 국외 반출 허가를 받은 자(단서조항 제외)가 그 반출 기간의 연장을 신청하는 민원사무입니다.,허가,단순민원,수수료 없음,수수료 없음,5년,2012.09.24,2012.11.30,,문화재청,유형문화재과
1550000-0059,문화재 국외 반출 허가,"국보·보물·천연기념물 또는 중요민속자료를 국외 전시 등 국제적 문화교류를 목적으로 2년이내에 다시 반입할 것을 조건으로 국외로 반출하려는 자가 신청하는 민원사무입니다. (일반동산문화재 중 '국외박물관 등 구입·기증 문화재 국외 반출 허가'를 제외한 경우에도 해당됨. 단, 「박물관 및 미술관 진흥법」에 따라 설립된 박물관 등이 외국의 박물관 등에 일반동산문화재를 반출한 경우에는 10년이내에 다시 반입할 것을 조건으로 함)",허가,단순민원,수수료 없음,수수료 없음,5년,2012.09.21,2012.11.30,,문화재청,유형문화재과
1550000-0058,촬영 및 장소사용 허가(궁·능원 및 유적),"유적관리기관(현충사관리소, 세종대왕유적관리소, 칠백의총관리소, 4대궁·종묘관리소 및 조선왕릉관리소) 안에서 촬영 또는 장소사용 허가를 신청하는 민원사무입니다. 1. 촬영(비상업용촬영, 일반적인 스틸촬영, 동영상촬영 중 풍경촬영) : 촬영 3일 전까지 신청, 1일 전까지 허가 2. 촬영(동영상촬영 중 모델이 있거나 영화, TV드라마, 극영화 등 촬영) : 촬영 5일 전까지 신청, 1일 전까지 허가 3. 촬영(심의대상 : 상업용촬영 중 다음 사항 중 두개 이상 해당할 경우/공개제한시간 중의 촬영, 공개 제한지역에서의 촬영, 국보 및 보물인 전각일원에서의 촬영, 촬용을 위해 입장하는 인원이 30명 이상일 경우의 촬영, 발전차 크레인 등 대형장비의 반입이 필요한 촬영) : 촬영 30일 전까지 신청, 1일 전까지 허가 4. 장소사용(일반허가대상) : 장소사용 20일 전까지 신청, 5일 전까지 허가 5. 장소사용(심의대상 : 두 개이상의 유적관리기관에서 장소사용, 전각마케팅 대상 외 전각의 내부 장소사용, 건물외부(공개제한지역, 공개제한시간, 국보 및 보물인 전각 일원 중 하나 이상에 해당하는 장소사용)) : 장소사용 30일 전까지 신청, 5일 전까지 허가",허가,단순민원,기타,"「궁·능원 및 유적관람 등에 관한 규정」 요금표 참고/촬영(별표1), 장소사용(별표4)",10년,2014.06.29,2014.06.30,,문화재청,궁능문화재과
1550000-0023,문화재수리업등 등록 사항 변경신고,"문화재수리업, 문화재실측설계업 또는 문화재감리업으로 등록한 자가 상호, 대표자, 주된 영업소 소재지, 문화재수리기술자 및 문화재수리기능자 보유현황이 변경된 경우 변경된 날로부터 30일 이내에 신고하는 민원사무입니다.",기타,단순민원,수수료 없음,수수료 없음,영구,2011.03.10,2011.03.11,,문화재청,수리기술과
1550000-0022,문화재수리업등 등록,"문화재수리업, 문화재실측설계업 또는 문화재감리업으로 등록하려는 자가 신청하는 민원사무입니다",등록,단순민원,사례별 수수료,"종합문화재수리업(5만원), 전문문화재수리업(3만원), 문화재실측설계업(3만원), 문화재감리업(3만원)",영구,2011.04.04,2011.03.11,,문화재청,수리기술과
1550000-0017,발견신고된 문화재의 보상금(포상금) 지급,"발견신고된 문화재를 국가에 귀속하는 경우 그 문화재의 발견자, 습득자 및 발견된 토지나 건조물 등의 소유자 및 발견신고자로서 발굴의 원인을 제공한 자가 문화재청으로 부터 보상금(포상금) 지급액을 통보받은 경우에 보상금(포상금)을 지급 청구하는 민원사무입니다.",기타,단순민원,수수료 없음,수수료 없음,영구,2011.03.10,2011.03.11,,문화재청,발굴제도과
1550000-0015,매장문화재 발견신고,"매장문화재를 발견한 때에 발견자, 매장문화재 유존지역의 소유자·점유자 또는 관리자가 그 현상을 변경하지 말고 7일 이내에 신고하는 민원사무입니다.",신고,단순민원,수수료 없음,수수료 없음,10년,2011.03.10,2011.03.11,,문화재청,발굴제도과
1550000-0014,매장문화재 발굴(현상변경)허가,매장문화재의 발굴허가 또는 현상변경허가를 받으려는 자가 신청하는 민원사무입니다.,허가,단순민원,수수료 없음,수수료 없음,영구,2012.09.21,2012.09.22,,문화재청,발굴제도과
1550000-0012,국가지정(등록)문화재 현상변경 등(착수·완료) 신고,국가지정문화재(보호물 · 보호구역과 천연기념물 중 죽은 것을 포함한다)의 현상을 변경(천연기념물을 표본 · 박제하는 행위를 포함한다)하는 행위로서 문화체육관광부령으로 정하는 행위 및 법 제56조 제2항 각호에 해당하는 등록문화재의 현상을 변경하는 행위에 대해 허가(변경허가를 포함한다)를 받고 그 문화재의 현상변경을 착수하거나 완료한 때에 15일 이내에 신고하는 민원사무입니다.,신고,단순민원,수수료 없음,수수료 없음,영구,2012.09.21,2012.09.22,,문화재청,보존정책과
1550000-0011,국가지정(등록)문화재 (보호물·보호구역) (멸실·유실·도난·훼손)신고,"국가지정(등록)문화재(보호물과 보호구역을 포함한다)의 소유자 · 보유자 · 관리자 또는 관리단체는 당해 문화재에 관하여 국가지정(등록)문화재의 전부 또는 일부가 멸실, 유실, 도난 또는 훼손된 때에 15일 이내에 신청하는 민원사무입니다.",신고,단순민원,수수료 없음,수수료 없음,3년,2011.03.10,2011.03.11,,문화재청,보존정책과
1550000-0010,국가지정(등록)문화재【소유자ㆍ보유자ㆍ관리자의 성명ㆍ주소ㆍ소재지ㆍ보호구역ㆍ보관장소】 변경신고,"국가지정(등록)문화재(보호물과 보호구역을 포함한다)의 소유자 · 보유자 또는 관리자의 성명이나 주소에 변경이 있을 때, 소재지의 지명 · 지번 · 지목 · 면적등에 변경이 있은 때, 보관장소를 변경한 때에 15일 이내에 신청하는 민원사무입니다.",신고,단순민원,수수료 없음,수수료 없음,5년,2012.09.21,2012.09.22,,문화재청,보존정책과
1550000-0009,국가지정(등록)문화재 소유자변경 신고,국가지정(등록)문화재(보호물과 보호구역을 포함한다.)의 국가지정(등록)문화재의 소유자가 변경된 경우에 15일 이내에 신고하는 민원사무입니다.,신고,단순민원,수수료 없음,수수료 없음,3년,2011.03.10,2011.03.11,,문화재청,보존정책과
1550000-0008,국가지정(등록)문화재 관리자(선임·해임) 신고,국가지정(등록)문화재(보호물과 보호구역을 포함한다.)의 소유자 · 보유자 ·관리자 또는 관리단체는 당해 문화재에 관하여 관리자를 선임 또는 해임한 때에 15일 이내에 신고하는 민원사무입니다.,신고,단순민원,수수료 없음,수수료 없음,3년,2012.09.21,2012.09.22,,문화재청,보존정책과
1550000-0007,허가사항 변경허가(문화재),"국가지정(등록)문화재 현상변경 허가, 국가지정문화재(탁본·영인·촬영) 허가, 국가지정문화재(동물,식물, 광물의 포획, 채취, 반출) 허가에 대한 허가사항을 변경하고자할때 신청하는 민원사무입니다.",허가,단순민원,수수료 없음,수수료 없음,영구,2012.12.06,2012.12.07,,문화재청,보존정책과
1550000-0006,국가지정(등록)문화재 현상변경 등 허가,국가지정문화재(보호물·보호구역과 천연기념물 중 죽은 것을 포함한다)의 현상을 변경[천연기념물을 표본하거나 박제하는 행위를 포함한다)하는 행위 및 국가지정문화재(동산에 속하는 문화재는 제외한다)의 보존에 영향을 미칠 우려가 있는 행위로서 시행규칙에서 정하는 행위 또는 등록문화재의 현상을 변경하려는 자가 허가를 받고자 신청하는 민원사무입니다.,허가,단순민원,수수료 없음,수수료 없음,영구,2012.09.21,2012.09.22,,문화재청,보존정책과
1550000-0004,국가지정문화재 탁본·영인·촬영 허가,국가지정문화재를 탁본 또는 영인하거나 그 보존에 영향을 미칠 우려가 있는 촬영을 하는 행위를 하고자 하는 자가 대통령령이 정하는 바에 의하여 문화재청장의 허가를 받기 위해 신청하는 민원사무입니다.,허가,단순민원,수수료 없음,수수료 없음,10년,2012.09.21,2012.09.22,,문화재청,유형문화재과
1550000-0002,"국가지정문화재(동물, 식물, 광물) 포획, 채취, 반출 허가","명승 · 천연기념물로 지정되거나 가지정된 구역 또는 그 보호구역에서 동물, 식물, 광물을 포획·채취하거나 이를 구역 밖으로 반출하고자 하는 자가 신청하는 민원사무입니다. <시·도지사 위임사항> 1. 천연기념물(동물분야, 식물분야, 천연보호구역) 내에서 동물·식물·광물에 대한 포획·채취·반출 행위 2. 천연기념물(지질분야), 명승 내에서 광물을 제외한 동물·식물에 대한 포획·채취·반출 행위 * 단, ""동물·식물""에는 천연기념물로 지정된 동·식물 종(68종) 및 노거수는 제외",허가,단순민원,수수료 없음,수수료 없음,10년,2012.09.21,2012.09.22,,문화재청,천연기념물과
1543000-0009,시설출입차량 등록말소 신청,시설출입차량 등록말소을 하고자 하는 경우 말소 신청서를 제출합니다.,제출,단순민원,수수료 없음,수수료 없음,10년,2015.12.23,2015.12.31,,농림축산식품부,방역총괄과
1543000-0008,시설출입차량 등록변경 신청,기 등록된 시설출입차량을 변경하고자 하는 경우에 신청서를 작성 제출합니다.,제출,단순민원,수수료 없음,수수료 없음,10년,2015.12.23,2015.12.31,,농림축산식품부,방역총괄과
1543000-0007,농어촌민박사업 폐업신고,"농어촌민박사업을 폐업하고자 하는 자가 시장,군수, 구청장에게 신고하는 사무",신고,단순민원,수수료 없음,수수료 없음,10년,2015.11.24,2015.11.30,,농림축산식품부,농촌산업과
1543000-0006,자체검사업체 변경신고,자체검사업체가 변경신고 할 사항이 발생할 경우 국립농산물검사 기관의 장(국립농산물품질관리원장)에게 신고,신고,단순민원,수수료 없음,수수료 없음,10년,2014.12.17,2015.01.30,,농림축산식품부,원예산업과
1543000-0005,인삼경작신고,"인삼경작신고를 하려는 자는 경작지를 관할하는 특별자치도지사, 시장, 군수, 구청장 또는 「농업협동조합법」에 의한 인삼관련 품목조합의 장에게 신청",신고,단순민원,수수료 없음,수수료 없음,10년,2015.01.26,2015.01.30,,농림축산식품부,원예산업과
1543000-0004,농업경영정보의 (변경)등록,"농업경영체 등록제란 누가 농사를 얼마나 짓고, 가축을 얼마나 키우는지 등 농업관련 정보를 등록하는 제도입니다. 농업관련 정보를 등록한 농업경영체는 농업, 농촌 관련 융자.보조금 등을 지원받을 있습니다.",등록,단순민원,수수료 없음,수수료 없음,10년,2015.03.06,2014.09.04,,농림축산식품부,농가소득안정추진단
1543000-0003,농어촌형 승마시설 신고(변경신고),"1. 농어촌형 승마시설: 어촌 지역에서 말의 위탁관리, 승용말의 생산, 육성 등의 사업과 말 이용업을 겸영하는 시설 2. 신고 기준 및 요건: 말산업 육성법 시행규칙 별표 2 참고",신고,복합민원,조례별 수수료,조례로 결정,10년,2014.03.07,2014.03.31,,농림축산식품부,축산정책과
1543000-0002,"가축거래상인 등록 신청 및 휴업, 폐업, 영업재개, 등록사항 변경 신고","가축거래상인이 되려는 자는 시장, 군수 또는 구청장에게 등록하여야 하고, 3개월 이상 휴업한 경우, 폐업한 경우, 3개월 이상 휴업하였다가 다시 개업한 경우, 등록한 사항 중 중요한 사항을 변경한 경우에는 그 사유가 발생한 날부터 30일 이내에 시장, 군수 또는 구청장에게 신고하여야 한다.",등록,단순민원,수수료 없음,수수료 없음,10년,2013.06.04,2013.06.05,,농림축산식품부,축산정책과
1543000-0001,가축사육업 허가 및 변경허가 신청,가축사육업 허가를 받거나 중요한 사항을 변경받고자 하는 경우 신청서를 제출하여야 함,허가,단순민원,수수료 없음,수수료 없음,10년,2013.06.04,2013.06.05,,농림축산식품부,축산정책과
1541000-0069,시설출입차량 등록증 재발급,시설출입차량 등록증을 분실하거나 헐어서 못 쓰게된 경우 재발급을 신청해야 합니다.,건의,단순민원,수수료 없음,수수료 없음,10년,2015.12.15,2015.12.31,,농림축산식품부,방역총괄과
1541000-0068,축산관계시설 출입차량 등록 신청,"가축, 원유, 알, 동물(의)약품, 사료, 조사료, 가축분뇨, 왕겨, 쌀겨, 톱밥, 깔집, 퇴비를 운반하거나 진료, 예방접종, 인공수정, 컨설팅, 시료채취, 방역, 기계수리를 위하여 축산관계시설에 출입하는 차량은 등록 신청",등록,단순민원,수수료 없음,수수료 없음,10년,2015.12.15,2015.12.31,,농림축산식품부,방역총괄과
1541000-0067,술 품질인증기관 지정 변경신청,"술의 품질향상, 고품질 술의 생산장려 및 소비자 보호를 위하여 인증업무를 수행할 수 있는 조직, 인력, 시설 등을 갖춘 기관을 지정하여 운영하기 위함.",지정,단순민원,수수료 없음,수수료 없음,10년,2013.04.30,2013.05.01,,농림축산식품부,품질검사과
1541000-0066,술 품질인증기관 지정 신청,"술의 품질향상, 고품질 술의 생산장려 및 소비자 보호를 위하여 인증업무를 수행할 수 있는 조직, 인력, 시설 등을 갖춘 기관을 지정하여 운영하기 위함.",지정,단순민원,수수료 없음,수수료 없음,10년,2013.04.30,2013.05.01,,농림축산식품부,품질검사과
1541000-0065,김치 전문인력 양성기관 지정 신청,"김치산업의 진흥과 김치문화의 계승·발전을 위하여 김치협회, 김치사업자단체, 김치명인, 김치 관련 홍보관 등에서 소비자 또는 관련 종사자를 대상으로 제조기술 등을 보급·전수하기 위함",지정,단순민원,수수료 없음,수수료 없음,10년,2013.04.30,2013.05.01,,농림축산식품부,품질검사과
1541000-0064,김치 교육훈련기관 지정 신청,"김치산업의 진흥과 김치분화의 계승·발전을 위하여 김치협회, 김치사업자단체, 김치명인, 김치 관련 홍보관 등에서 소비자 또는 관련 종사자를 대상으로 제조기술 등을 보급·전수하기 위함",건의,단순민원,수수료 없음,수수료 없음,10년,2014.01.06,2014.01.07,,농림축산식품부,품질검사과
1541000-0063,우수식품인증기관 지정 신청,"우수식품의 경쟁력을 제고하여 품질좋은 식품을 안정적으로 공급하기 위하여 인증업무를 수행할 수 있는 조직, 인력, 시설 등을 갖춘 기관을 지정하여 운영하기 위함",건의,단순민원,기타,기본수수료(20만원)+인증심사원 출장비,10년,2012.09.28,2013.07.26,,농림축산식품부,품질검사과
1541000-0062,유전자변형생물체 수입승인신청서,"사료용 유전자변형생물체(콩, 옥수수, 면화, 유채, 알팔파)를 수입하려는 자는 법령에서 규정한 취급관리기준을 준수하고 사전에 수입승인을 받아야함",건의,단순민원,사례별 수수료,위해성심사 수수료,10년,2013.04.30,2013.05.01,,농림축산식품부,원산지관리과
1541000-0061,방류수산동물 전염병 검사 신청,수산자원의 회복 등을 위하여 종묘(種苗) 또는 치어(稚魚)로서 방류되는 수산동물을 방류하려는 국민이 국립수산과학원장에게 그 방류수산동물에 대한 수산동물전염병의 감염 여부에 대한 검사 신청하는 민원사무입니다.,시험,단순민원,수수료 없음,수수료 없음,3년,2013.04.02,2013.04.03,,해양수산부,수산방역과
1541000-0060,수산제품 이물질품종분석,"어류, 두족류, 갑각류, 패류 등의 이물질의 품종, 학명을 규명하고 정밀분석을 의뢰하는 민원사무입니다.",시험,단순민원,사례별 수수료,국립수산과학원 수수료 고시에 의함,10년,2013.04.02,2013.04.03,,해양수산부,연근해자원과
1541000-0059,수산제품 및 용수의 세균분석,수산제품(수산물 및 가공식품 등)과 수산용수에 포함된 세균종류 및 세균량을 분석하는 민원사무입니다.,시험,단순민원,사례별 수수료,국립수산과학원 수수료 고시에 의함,10년,2013.04.02,2013.04.03,,해양수산부,병리연구과
1541000-0058,수산제품의 이화학적 분석,"수산제품의 일반물리화학성분(수분, 염분 등)과 어패류 독소, 동물용 의약품 잔류여부, 중금속 함량 등을 조사하는 민원사무입니다.",시험,단순민원,사례별 수수료,"국립수산과학원 수수료 고시에 의함(동물성 의약품 잔류실험은 식품위생법상 잔류허용기준치가 설정된 항생제에 한하며, 식품공전 35의 나 및 36의 시험항목 중 기준 및 규격에 동시분석으로 등재된 경우에는 각 1성분 추가시 마다 4500원 추가)",10년,2013.04.02,2013.04.03,,해양수산부,식품위생가공과
1541000-0057,해저 퇴적물 분석,패류양식장의 해역 환경을 조사하거나 양식 패류의 폐사 사례가 발생하였을 경우 해저의 퇴적물을 조사 분석하여 원인을 조사하는 민원사무입니다.,시험,단순민원,사례별 수수료,"강열감량 1000원, 화학적 산소요구량 7300원, 산휘발성 황하물 5400원, 총유기탄소 및 총질소 10600원, 카드뮴·아연·구리·납 10600원, 수은 18300원",10년,2013.04.02,2013.04.03,,해양수산부,어장환경과
1541000-0056,수산동물 병성감정,"병명이 불분명한 질병으로 죽은 수산동물 또는 수산동물전염병에 걸렸거나 걸렸다고 믿을만한 역학조사, 정밀검사 결과나 임상증상이 있는 동물의 전염병 감염여부의 확인을 국립수산과학원장에거 의뢰하는 민원사무입니다.",검사,단순민원,사례별 수수료,"병성감정 신청 1건당 20000원, 세균성 곰팡이성 질병 등 각 항목별 수수료(10000~50000원)",3년,2013.04.02,2013.04.03,,해양수산부,수산방역과
1541000-0055,농어촌 양육수당 지원사업,"농어업인 영유아 양육비를 지원 받기 희망하는 농어업인에게 양육비를 지원하기 위해 자격요건 확인을 위한 서류를 확인하는 민원사무입니다. o 농어업인 영유아 양육비 지원 신청서 o 농어업인 임을 확인하기 위한 서류 - 농업인 확인서, 농업경영체등록증 o 농지보유 요건 확인을 위한 서류 - 농지원부 o 농어업인과 영유아의 거주요건 확인 서류 - 주민등록증 사본 o 농외소득 확인을 위한 서류 - 근로소득원천징수증, 소득금액증명원 o 어업인 확인을 위한 서류 - 어업허가증, 어업면허증, 수협조합원명부, 위판증명서,관행어업증명서",청구,단순민원,수수료 없음,수수료 없음,5년,2013.03.26,2013.03.27,,보건복지부,보육사업기획과
1541000-0054,농촌출신 대학생 학자금 융자 신청,"농어촌 지역에 주소를 두고 6개월 이상 거주하고 있는 학부모의 자녀 및 대학에 재학중이거나 입학예정인 학생, 그리고 농어업에 종사하는 대학생을 대상으로 학자금을 무이자 융자 지원함으로서 농어촌지역 학부모의 교육비 부담 경감 및 농어촌 출신 대학생에 대한 균등한 교육기회를 제공하고자 하는 사업입니다.",제출,단순민원,수수료 없음,수수료 없음,10년,2013.04.30,2013.05.01,,농림축산식품부,농촌복지여성과
1541000-0053,어업허가지위 승계신고(근해어업·연안어업·구획어업·육상해수양식어업·종묘생산어업),"어업허가가 있는 어선 또는 어구를 상속, 구매, 임대 등 사유 발생시 해당 어업허가 승계를 받은 경우 승계를 받은 날로부터 30일이내 신청하는 민원사무입니다",신고,단순민원,수수료 없음,수수료 없음,5년,2013.04.02,2013.04.03,,해양수산부,어업정책과
1541000-0052,한시어업 허가연장,일시적으로 다량출현하는 어종을 이용할 수 있는 한시어업허가를 받은 자가 한시어업허가를 연장하고자 할때 신청하는 민원사무입니다,허가,단순민원,조례별 수수료,조례로 결정,5년,2013.04.02,2013.04.03,,해양수산부,어업정책과
1541000-0051,한시어업 허가,그 동안 출현하지 아니하였거나 현저히 적게 출현하였던 수산동물이 다량 출현하고 이를 이용할 어업이 허가되지 아니한 경우에 수산업법 제42조 및 어업자원보호법 제2조(관할 수역 내의 어업허가 포함)에 따라 한시어업허가를 받고자 할때 신청하는 민원사무입니다,허가,단순민원,조례별 수수료,조례로 결정,5년,2013.04.02,2013.04.03,,해양수산부,어업정책과
1541000-0050,위해요소중점관리기준이행시설 등록 변경 신고,수산물품질관리법 제25조에 따라 등록된 위해요소중점관리기준이행시설증 등록사항을 변경하고자 하는 경우,등록,단순민원,수수료 없음,수수료 없음,3년,2013.04.02,2013.04.03,,해양수산부,검역검사과
1541000-0049,수산물생산·가공시설 등록변경 신고,"수산물품질관리법 제25조에 따라 등록된 생산, 가공시설중 등록사항을 변경하고자 하는 경우",등록,단순민원,수수료 없음,수수료 없음,3년,2013.04.02,2013.04.03,,해양수산부,검역검사과
1541000-0048,종자업등록증 재교부,종자업등록증 재교부 받고자 할 경우 제출,교부,단순민원,수수료 없음,수수료 없음,3년,2013.05.01,2013.07.26,,농림축산식품부,과학기술정책과
1541000-0047,종자업등록사항 변경,종자업등록사항 변경을 통지하고자 할 경우 제출,등록,단순민원,수수료 없음,수수료 없음,3년,2013.05.01,2013.05.02,,농림축산식품부,과학기술정책과
1541000-0046,지리적표시의 등록신청에 대한 이의신청,지리적표시의 등록신청에 이의신청을 하려는 경우 이의 사유와 증거자료를 첨부하여 국립농산물품질관리원장 또는 산림청장에게 신청하는 민원 업무임,이의,단순민원,수수료 없음,수수료 없음,5년,2012.03.09,2013.07.26,,농림축산식품부,원산지관리과
1541000-0045,지리적 표시등록 변경신청,"지리적표시로 등록한 사항 중 등록자, 지리적표시 대상지역의 범위, 자체품질기준 중 재배기준 등을 변경코자 할 경우 국립농산물품질관리원장, 산림청에 변경을 신청하는 민원임",등록,단순민원,수수료 없음,수수료 없음,5년,2012.03.09,2013.07.26,,농림축산식품부,원산지관리과
1541000-0044,농산물 검정기관 대표자 지위승계 신고,검정기관의 대표자가 사망하거나 검정기관 운영을 양도 또는 법인의 합병이 있는 경우에는 그 상속인·양수인 또는 합병 후 존속하는 법인이나 합병에 따라 설립되는 법인은 그 검정기관 종전 대표자 또는 검정기관의 권리ㆍ의무를 승계하고 그 사항을 신고하는 민원사무입니다.,신고,단순민원,수수료 없음,수수료 없음,영구,2014.01.13,2014.01.14,,농림축산식품부,품질검사과
1541000-0043,농산물 검정기관 지정 변경신고,"안전성 검정기관이 ""기관명(대표자) 및 사업자등록번호, 실험실 소재지, 검정업무에 관한 규정, 검정기관의 지정기준 중 인력·시설·장비""에 대하여 변경하고자 할 경우 변경하기 14일 전까지 신고하는 민원사무입니다.",신고,단순민원,수수료 없음,수수료 없음,영구,2013.05.01,2013.05.02,,농림축산식품부,품질검사과
1541000-0042,농산물 검정기관 지정신청,농산물 또는 그 가공품에 대한 검정을 대행하기 위하여 검정기관으로 지정하고자 신청하는 민원사무입니다.,지정,단순민원,기타,"200,000원",영구,2012.09.28,2013.07.26,,농림축산식품부,품질검사과
1541000-0041,인삼 종자·종묘검사 신청,인삼의 종자 또는 종묘를 생산하거나 수집하는 자가 인삼종자·종묘검사기관에 품질에 관한 검사를 신청하는 민원사무임,검사,단순민원,사례별 수수료,"종자검사 65,200원, 종묘검사 34,400원",5년,2013.07.25,2013.05.02,,농림축산식품부,원산지관리과
1541000-0040,안전성 검사기관 지정사항 변경신고,"안전성 검사기관이 ""기관명(대표자) 및 사업자등록번호, 실험실 소재지, 검사업무 범위 및 유해물질 항목 등 검사업무규정, 검사기관의 지정기준 중에서 분석실의 면적ㆍ주요 분석기구 및 검사원""에 대하여 변경하고자 할 경우 변경된 날로부터 7일이내에 신고하는 민원사무업무입니다.",신고,단순민원,수수료 없음,수수료 없음,10년,2013.05.01,2013.05.02,,농림축산식품부,소비안전과
1541000-0039,안전성 검사기관 지정 신청,안전성조사의 일부와 시험분석 업무를 대행하기 위하여 안전성조사와 시험분석에 필요한 시설과 인력을 갖추어 안전성검사기관으로 지정받고자 신청하는 민원사무업무입니다.,지정,단순민원,기타,"안전성 검사기관지정 신청 수수료 200,000원",10년,2012.10.09,2013.07.26,,농림축산식품부,소비안전과
1541000-0038,농산물우수관리인증기관·농산물우수관리시설 승계신고,"인증기관 지정, 우수관리시설의 지정으로 발생한 권리 의무를 가진자가 사망하거나 그 권리 의무를 양도하는 경우 또는 법인이 합병하는 경우에는 상속인, 양수인, 또는 합병 후 존속하는 법인이나 합병으로 설립되는 법인이 그 지위를 승계할 수 있도록 신고하는 민원사무 입니다.",신고,단순민원,수수료 없음,수수료 없음,10년,2012.03.09,2013.07.26,,농림축산식품부,소비안전과
1541000-0037,농어업경영체 변경등록 신청,농어업경영체로 등록된 정보가 변경된 경우 신청하는 민원사무임,등록,단순민원,수수료 없음,수수료 없음,5년,2015.07.14,2015.11.27,,농림축산식품부,맞춤형농정과
1541000-0036,농업경영체 등록 신청(농업법인),경영체(농업법인)의 농업경영정보를 등록하고 고유번호를 부여받기 위하여 신청하는 민원사무임,등록,단순민원,수수료 없음,수수료 없음,5년,2015.07.14,2015.07.15,,농림축산식품부,맞춤형농정과
1541000-0035,농업경영체 등록 신청(농업인),경영체(농업인)의 농업경영정보를 등록하고 고유번호를 부여받기 위하여 신청하는 민원사무임,등록,단순민원,수수료 없음,수수료 없음,5년,2015.07.14,2015.07.15,,농림축산식품부,맞춤형농정과
1541000-0034,사료제조업 승계 신고,「사료관리법」에 따른 사료 제조업자의 지위를 승계한 자가 30일 이내에 시·도지사에게 신고하여야 하는 민원입니다.,신고,단순민원,수수료 없음,수수료 없음,영구,2013.05.01,2013.05.02,,농림축산식품부,축산경영과
1541000-0033,사료제조업 휴업·폐업 또는 휴업 후 영업재개신고,「사료관리법」에 따른 제조업 등록을 한자가 휴업·폐업 또는 휴업 후 영업을 재개하려는 경우에 시·도지사에게 신고하는 민원입니다. ※ 이 민원의 휴업·폐업신고서는 부가가치세법 시행령 제10조제1항에 의거 세무서에 제출하는 휴업·폐업신고서와 함께 세무서에 제출할 수 있습니다,신고,단순민원,수수료 없음,수수료 없음,영구,2013.05.01,2013.05.02,,농림축산식품부,축산경영과
1541000-0032,수입허가신청,시험·연구조사 또는 수산동물질병의 진료와 예방을 위한 의약품 제조에 사용하기 위하여 수입허가를 신청하는 민원사무입니다.,허가,단순민원,수수료 없음,수수료 없음,3년,2013.04.02,2013.04.03,,해양수산부,검역검사과
1541000-0031,수출(재)검역 신청,지정검역물을 수출하려는 자는 해양수산부령으로 정하는 바에 따라 수산동물검역관의 검역을 받아야하는 민원사무입니다.,검사,단순민원,수수료 없음,수수료 없음,3년,2014.06.03,2015.04.01,,해양수산부,검역검사과
1541000-0030,수입(재)검역 신청,지정검역물을 수입한 자는 해양수산부령으로 정하는 바에 따라 신청서 및 적하목록을 제출하여 수산동물검역기관의 장에게 검역을 신청하고 수산동물검역관의 검역을 받아야 합니다.,검사,단순민원,수수료 없음,수수료 없음,3년,2014.06.03,2015.04.01,,해양수산부,검역검사과
1541000-0029,검역시행장 외의 검역장소 지정(변경)신청,검역시행장 외의 검역장소로 지정받으려는 자는 제출해야하는 민원사무입니다.,지정,단순민원,수수료 없음,수수료 없음,3년,2013.04.02,2013.04.03,,해양수산부,검역검사과
1541000-0028,파견검역 신청,수산동물을 국내에 수입하려는 자(수출국가 정부)가 그 수산동물을 수입하기 전에 수출국가에서 검역할 것을 요청하는 민원사무입니다.,검사,단순민원,단일 수수료,20000,3년,2013.04.02,2013.04.03,,해양수산부,검역검사과
1541000-0027,부정축산물 신고 포상금 지급,"축산물위생관리법 제39조에서 정하는 부정축산물 가공, 포장, 사용, 보관, 운반, 진열 또는 판매한 자를 관계 행정기관 또는 수사기관에 신고 또는 고발하거나 검거한 사람 및 검거에 협조한 사람이 포상금을 지급 받고자 하는 경우 신청 및 지급하는 민원사무입니다.",청구,단순민원,수수료 없음,수수료 없음,10년,2015.07.14,2015.07.31,,식품의약품안전처,축산물위생안전과
